Vehicle Type,Features Train,Features Test,Target Train,Target Test,Best alpha,Test MSE,CV RMSE,Test RMSE,Test RÂ²
pickup,"(1896, 10)","(474, 10)","(1896,)","(474,)",1.0,35750067.67792534,6251.8438125082885,5979.136031060452,0.8352517549427776
coupe,"(838, 10)","(210, 10)","(838,)","(210,)",10.0,70370285.9172468,11315.864435514934,8388.699894336834,0.6224986145616729
suv,"(6497, 10)","(1625, 10)","(6497,)","(1625,)",1.0,28929120.896662407,5674.299515445442,5378.579821538619,0.7317920603558508
sedan,"(5981, 10)","(1496, 10)","(5981,)","(1496,)",1.0,17894495.229222637,4452.0022757574425,4230.188557171256,0.6469086458962492
convertible,"(367, 10)","(92, 10)","(367,)","(92,)",10.0,23444401.05692776,6940.276664055056,4841.941868396167,0.8304004159713885
truck,"(5016, 10)","(1254, 10)","(5016,)","(1254,)",1.0,41259251.922994584,6331.067313722868,6423.336510178692,0.7743991630983067
hatchback,"(840, 10)","(210, 10)","(840,)","(210,)",10.0,6336516.532923268,3360.059898199969,2517.2438366044853,0.9387721349151366
wagon,"(581, 10)","(146, 10)","(581,)","(146,)",10.0,12065545.461223233,2807.921919042329,3473.5494038840493,0.6943382519328615
van,"(1246, 10)","(312, 10)","(1246,)","(312,)",10.0,20920678.543625984,5350.008429973593,4573.912826413069,0.8297367145556218
mini-van,"(436, 10)","(109, 10)","(436,)","(109,)",10.0,13405750.199795054,4650.696002907959,3661.386376742429,0.7830077932772415
offroad,"(52, 10)","(13, 10)","(52,)","(13,)",0.1,16905686.772820305,5135.710598632677,4111.6525598377475,0.7089475732837067
bus,"(25, 10)","(7, 10)","(25,)","(7,)",0.001,98088337.33010939,4834.071044580065,9903.955640556424,-0.9896623421327038
