Vehicle Type,Model Type,Features Train,Features Test,Target Train,Target Test,Test MSE,Test RMSE,Test RÂ²
pickup,linear,"(1896, 10)","(474, 10)","(1896,)","(474,)",36390746.88643137,6032.474358539071,0.8322992912944027
pickup,ridge,"(1896, 10)","(474, 10)","(1896,)","(474,)",36207014.00386366,6017.226437808674,0.8331459937464102
pickup,lasso,"(1896, 10)","(474, 10)","(1896,)","(474,)",35750067.67792534,5979.136031060452,0.8352517549427776
coupe,linear,"(838, 10)","(210, 10)","(838,)","(210,)",88891543.76791117,9428.231210991336,0.5231413303393462
coupe,ridge,"(838, 10)","(210, 10)","(838,)","(210,)",75911983.7890597,8712.74834877375,0.5927701773808134
coupe,lasso,"(838, 10)","(210, 10)","(838,)","(210,)",70370285.9172468,8388.699894336834,0.6224986145616729
suv,linear,"(6497, 10)","(1625, 10)","(6497,)","(1625,)",30985788.11930586,5566.487951959104,0.7127242677226326
suv,ridge,"(6497, 10)","(1625, 10)","(6497,)","(1625,)",28411865.349755395,5330.278168140514,0.73658764488125
suv,lasso,"(6497, 10)","(1625, 10)","(6497,)","(1625,)",28929120.896662407,5378.579821538619,0.7317920603558508
sedan,linear,"(5981, 10)","(1496, 10)","(5981,)","(1496,)",17912494.343006615,4232.315482452438,0.6465534902253436
sedan,ridge,"(5981, 10)","(1496, 10)","(5981,)","(1496,)",17102712.372840438,4135.542572969167,0.6625319801862029
sedan,lasso,"(5981, 10)","(1496, 10)","(5981,)","(1496,)",17894495.229222637,4230.188557171256,0.6469086458962492
convertible,linear,"(367, 10)","(92, 10)","(367,)","(92,)",30679591.590777222,5538.916102521975,0.7780601876188278
convertible,ridge,"(367, 10)","(92, 10)","(367,)","(92,)",25159173.777252737,5015.8921217718325,0.8179955462814125
convertible,lasso,"(367, 10)","(92, 10)","(367,)","(92,)",23444401.05692776,4841.941868396167,0.8304004159713885
truck,linear,"(5016, 10)","(1254, 10)","(5016,)","(1254,)",41809827.39626793,6466.051917226456,0.7713886798307032
truck,ridge,"(5016, 10)","(1254, 10)","(5016,)","(1254,)",41090149.930821896,6410.159899005788,0.7753237933128124
truck,lasso,"(5016, 10)","(1254, 10)","(5016,)","(1254,)",41259251.922994584,6423.336510178692,0.7743991630983067
hatchback,linear,"(840, 10)","(210, 10)","(840,)","(210,)",6830855.867492583,2613.5906082423435,0.9339954816978857
hatchback,ridge,"(840, 10)","(210, 10)","(840,)","(210,)",7642679.588134606,2764.5396702045364,0.9261510717635159
hatchback,lasso,"(840, 10)","(210, 10)","(840,)","(210,)",6336516.532923268,2517.2438366044853,0.9387721349151366
wagon,linear,"(581, 10)","(146, 10)","(581,)","(146,)",11927008.205313422,3453.5500872744587,0.6978478769183136
wagon,ridge,"(581, 10)","(146, 10)","(581,)","(146,)",11654530.455314163,3413.873233632755,0.7047506751085688
wagon,lasso,"(581, 10)","(146, 10)","(581,)","(146,)",12065545.461223233,3473.5494038840493,0.6943382519328615
van,linear,"(1246, 10)","(312, 10)","(1246,)","(312,)",18757677.373343974,4331.013434906889,0.847340335055037
van,ridge,"(1246, 10)","(312, 10)","(1246,)","(312,)",19023108.081925876,4361.54881686837,0.8451801228799518
van,lasso,"(1246, 10)","(312, 10)","(1246,)","(312,)",20920678.543625984,4573.912826413069,0.8297367145556218
mini-van,linear,"(436, 10)","(109, 10)","(436,)","(109,)",16143723.86603818,4017.925318623802,0.7386895761739583
mini-van,ridge,"(436, 10)","(109, 10)","(436,)","(109,)",13246680.273410652,3639.5989165580663,0.7855825790098523
mini-van,lasso,"(436, 10)","(109, 10)","(436,)","(109,)",13405750.199795054,3661.386376742429,0.7830077932772415
offroad,linear,"(52, 10)","(13, 10)","(52,)","(13,)",16380189.394225273,4047.2446669586548,0.7179946643204951
offroad,ridge,"(52, 10)","(13, 10)","(52,)","(13,)",12461888.162020423,3530.1399635170874,0.7854530939935306
offroad,lasso,"(52, 10)","(13, 10)","(52,)","(13,)",16905686.772820305,4111.6525598377475,0.7089475732837067
bus,linear,"(25, 10)","(7, 10)","(25,)","(7,)",110958122.7222399,10533.666157717355,-1.2507181214744891
bus,ridge,"(25, 10)","(7, 10)","(25,)","(7,)",32701137.334343057,5718.490826638009,0.33667729242791467
bus,lasso,"(25, 10)","(7, 10)","(25,)","(7,)",98088337.33010939,9903.955640556424,-0.9896623421327038
